Date,real_gdp_growth,inflation,tbill_yield,shiller_pe,consumer_confidence,mktcap_gdp_ratio,volatility,sp500_return,sp500_re3,sp500_re6,sp500_re12,sp500_re60,bubble
2009-06-01,-0.5747162077701429,10.426981789948965,3.72,16.38,97.5953609844273,0.06452516399182044,1.2858858697946143,2.627408827473099,22.31981297795622,5.533524773234877,-30.95097856477167,-18.24216956813447,0
2009-07-01,1.4644183433524915,-0.35697315664251494,3.56,16.69,97.5449368951386,0.06489596064218306,1.2958107171926074,1.0473804690536825,10.336614985556803,8.114790082950151,-25.570852520817922,-15.37550300673689,0
2009-08-01,1.4644183433524915,4.092976386941283,3.59,18.09,97.5936601366899,0.07002136985663002,1.0301358781314571,7.897886345664751,11.892598707904401,25.39647057362493,-21.20533449866169,-7.274046320274763,0
2009-09-01,1.4644183433524915,2.3418306961097812,3.4,18.83,97.7919926011696,0.07243601941483652,0.9619574335622327,3.4484466144414805,12.787759685569888,37.96177670941581,-14.166563950860766,-6.541345310738523,0
2009-10-01,4.4664547879113,3.6623938697436964,3.39,19.36,97.8250480694322,0.07298731660284054,1.3598393682604797,2.212435977215077,14.088179350729835,25.881035194246316,10.204376548307192,-4.435155431834659,0
2009-11-01,4.4664547879113,4.09314720871552,3.4,19.81,97.8406964819433,0.07438258394624946,0.984124231088782,1.9116572691680656,7.7585097006130255,20.573796832925172,23.218653741619868,-6.918233613359126,0
2009-12-01,4.4664547879113,0.6260006307361676,3.59,20.32,98.0348845561018,0.07590773898943678,0.6613759077765239,2.0504195502127676,6.302235412378554,19.895909817302293,26.530379689138073,-7.407376522877551,0
2010-01-01,1.5480250950848262,0.7812623021764775,3.73,20.53,98.2148851233386,0.07632316329684437,1.0330412675677227,1.1887822186998909,5.237622464080305,20.063687461263903,29.80660366459482,-4.894998349429935,0
2010-02-01,1.5480250950848262,-1.1361721073902986,3.69,19.92,98.276240766517,0.07398506251125067,1.1372576672777637,-3.06342227522739,0.10017737829368656,7.866459350519461,35.260732958285224,-9.208672674074503,0
2010-03-01,1.5480250950848262,0.39836727647115655,3.73,21,98.2727927138645,0.07825708919358618,0.47190027152676745,5.774174593264525,3.752769322214,10.291513091761995,52.1601310210928,-3.5860741484643133,0
2010-04-01,3.7394356501167625,0.2763981707939678,3.85,21.8,98.2500496331971,0.08021654420331421,0.9440133274779584,3.9295169480491277,6.562950568717851,12.144315606091816,41.16842539645109,2.824557938218697,0
2010-05-01,3.7394356501167625,-0.6219464536169395,3.42,20.48,98.2486356845718,0.07537535932029925,2.0228495876403882,-6.035145157518462,3.296118109368673,3.399597452369796,24.672820558282815,-4.516753233526838,0
2010-06-01,3.7394356501167625,-0.5013982347400581,3.2,19.74,98.1428013664084,0.07258159500225711,1.6133499598142726,-3.7064689883206325,-5.962414825745411,-2.4334011779751252,16.978361335464065,-9.888958203368691,0
2010-07-01,2.9816144838429315,2.2663096645223035,3.01,19.67,97.8260696986606,0.0716051686491378,1.2504812649812542,-0.3286072958204045,-9.815254067417234,-3.896473771338038,15.385437370434474,-11.654012305275563,0
2010-08-01,2.9816144838429315,1.7677999101675557,2.7,19.77,97.632897228771,0.07210119259940224,1.113362742851846,0.6927208742359747,-3.3580431265888055,-0.17261008483603346,7.6802709635249045,-11.189525186437631,0
2010-09-01,2.9816144838429315,1.955611961161119,2.65,20.38,97.5763311827961,0.07440889760865395,0.9981152766497287,3.200647487307773,3.5740658691478355,-2.6014495898615486,7.422334976784262,-8.470373270686515,0
2010-10-01,2.022775154547629,4.259164992268016,2.54,21.24,97.6859358338674,0.076871075963449,0.7126784169922908,4.411450163981168,8.499722170772372,-2.149801222730763,9.73343573796901,-1.7097889190912485,0
2010-11-01,2.022775154547629,3.0833442286655632,2.76,21.7,97.972242430893,0.07866297159546884,0.9321632077368546,2.3310401338363818,10.265065116621308,6.562316676443936,10.185006479362556,-3.1098216378286025,0
2010-12-01,2.022775154547629,4.92780720463577,3.29,22.4,98.2513473208633,0.08146071710075355,0.5554393105057986,3.5566232098023898,10.64540852702125,14.599948308964716,11.811271816855484,-1.627485004793705,0
2011-01-01,-0.9583018463888759,3.9618208529389465,3.39,22.98,98.3718237194875,0.08390909540523418,0.6637934728740285,3.3096260259518395,9.477799211321457,18.783107982959812,14.154755335623626,0.30420808145581457,0
2011-02-01,-0.9583018463888759,3.9263023823861154,3.58,23.49,98.3172407356394,0.08642776825697633,0.7496931558706101,3.0016684598711985,10.195263952489375,21.50687955264512,21.2971464247677,3.4833352915834226,0
2011-03-01,-0.9583018463888759,6.387992980912194,3.41,22.9,98.0462086367585,0.08533983242517187,1.0328899689022248,-1.2587804287271354,5.071162195033541,16.25641665478399,13.232064580530366,0.8309242969994024,0
2011-04-01,2.8907109738332437,5.780646628655517,3.46,23.14,97.9812235284129,0.08592499743001328,0.5601512658315115,2.071307560809199,3.8117291169637246,13.650796360470485,11.207530150669843,2.253162029535316,0
2011-05-01,2.8907109738332437,3.8855852258263823,3.17,23.06,97.9637549207123,0.0863638149999332,0.6804421962989972,0.510698380034702,1.3011687053409382,11.629090241806983,18.954544646507742,3.7441570220385856,0
2011-06-01,2.8907109738332437,0,3,22.1,97.6218980791218,0.08307139258562218,1.042246003027024,-3.8122706996136957,-1.3185229476653793,3.685774810113318,18.823844336139416,2.722695244859019,0
2011-07-01,-0.11106835912257917,3.1897485349885235,3,22.61,96.9800176717718,0.08499248004566488,0.97579357682780965,2.9441695344483376,-0.4746490826204819,3.318987697057607,22.72550472309689,5.153780232336702,0
2011-08-01,-0.11106835912257917,3.851724249666111,2.3,20.05,96.4321401419587,0.07602112642181652,2.9479530574815254,-10.555467517865369,-11.4323288326322,-10.279914012353153,9.016076815539687,-7.912053762187787,0
2011-09-01,-0.11106835912257917,2.6372069112142293,1.98,19.7,96.3573973801694,0.07528805112927588,1.8270081252299837,-0.964304696661622,-8.809980657039196,-10.012341988056628,4.616426636246995,-10.917176377737636,0
2011-10-01,4.718401461224575,0.8132647893466238,2.15,20.16,96.6151486279207,0.07642345183667734,1.8528300320892046,2.840154019150165,-8.902119696043586,-9.334514949193018,3.0420457843254534,-11.45388666402618,0
2011-11-01,4.718401461224575,2.2400954845172016,2.01,20.35,97.1066227165617,0.07763891403516991,1.9595100003163592,1.590430907373963,3.4682909956045282,-8.360544268517744,2.296290735597095,-11.681933402465727,0
2011-12-01,4.718401461224575,0.28562341899691646,1.98,20.52,97.7145584993925,0.07870877399113473,1.1746181156018662,1.3779944880220274,5.915425767540117,-3.4157027554008845,0.14417694296553485,-12.220951412716573,0
2012-01-01,3.1689481124483443,3.3184629867021753,1.97,21.21,98.2328330134128,0.08118599544387624,0.5409454105920276,4.60541131808383,7.733470287105915,-1.8570921905538218,1.400258845176272,-8.677395798224929,0
2012-02-01,3.1689481124483443,2.5953044844367,1.97,21.8,98.5217735253222,0.08442636898759644,0.5347445041861421,3.991296190930216,10.279512728102924,14.104327138048278,2.374500423882786,-6.389119601328897,0
2012-03-01,3.1689481124483443,2.541292546310059,2.17,22.05,98.6610147290587,0.086720411132303,0.727151572534096,2.71721047845086,11.73631888813822,18.34599788734792,6.496791849688388,-1.2587511994029632,0
2012-04-01,1.7319423274066104,2.0112514139794646,2.05,21.78,98.7000365698628,0.08583506317414341,0.9248884613718569,-0.20226886643056607,6.600901136416071,14.844850151587941,4.124640445809646,-5.2752042852067476,0
